ID,species
1,GRBU
2,LETR
3,LETR
4,HADA
5,HADA
6,EUHA
7,GRBU
8,LETR
9,EUHA
10,EUHA
11,LETR
12,LETR
13,EUHA
14,LETR
15,LETR
16,LETR
17,COGU
18,COGU
19,COGU
20,COGU
21,COGU
22,COGU
23,COGU
24,COGU
25,COGU
26,COGU
27,COGU
28,LETR
29,HADA
30,LETR
31,LETR
32,LETR
33,COGU
34,COGU
35,COGU
36,COGU
37,COGU
38,PELE
39,PELE
40,EUHA
41,COGU
42,EUHA
43,LETR
44,LAFO
45,PELE
46,LETR
47,LETR
48,COGU
49,LETR
50,COGU
51,COGU
52,HADA
53,HADA
54,LETR
55,COGU
56,LETR
57,HADA
58,COGU
59,LETR
60,LETR
61,PELE
62,COGU
63,EUHA
64,HADA
65,HADA
66,COGU
67,COGU
68,EUHA
69,COGU
70,LETR
71,LETR
72,COGU
73,LETR
74,COGU
75,LETR
76,LETR
77,LETR
78,HADA
79,COGU
80,COGU
81,EUHA
82,EUHA
83,GRBU
84,HADA
84,HADA
85,HADA
85,HADA
85,HADA
86,HADA
87,HADA
87,HADA
88,PELE
89,GRBU
90,HADA
91,EUHA
92,GRBU
93,HADA
94,GRBU
95,LETR
96,HADA
97,GRBU
98,GRBU
99,GRBU
100,PELE
101,HADA
102,PELE
103,HATE
104,HATE
105,BAMA
106,GRBU
107,LETR
108,GRBU
109,LETR
110,EUHA
111,GRBU
112,HATE
113,GRBU
114,PELE
115,EUHA
116,LETR
117,GRBU
118,EUHA
119,GRBU
120,PELE
121,PELE
122,EUHA
123,GRBU
124,HATE
125,GRBU
126,HATE
127,HATE
128,EUHA
129,HATE
130,GRBU
131,GRBU
132,EUHA
133,PELE
134,EUHA
135,GRBU
136,ACSU
137,GRBU
138,LAFO
138,LAFO
139,LAFO
140,GRBU
141,GRBU
142,GRBU
143,GRBU
144,GRBU
145,GRBU
146,ACSU
147,GRBU
148,GRBU
149,GRBU
150,EUHA
151,HATE
152,HATE
153,HATE
154,HATE
155,ACSU
156,HATE
157,HATE
158,ACSU
159,HATE
160,EUHA
161,HADA
161,HADA
161,HADA
162,HADA
162,HADA
163,HATE
164,EUHA
165,HATE
166,HADA
166,HADA
167,HATE
168,HADA
168,HADA
168,HADA
169,HATE
170,HATE
171,HATE
172,HATE
173,HATE
174,EUHA
175,HADA
176,HATE
177,HADA
178,PELE
179,EUHA
180,EUHA
181,EUHA
182,HATE
183,HATE
184,HADA
184,HADA
184,HADA
185,HATE
186,HADA
187,HATE
188,HATE
189,HATE
190,HADA
190,HADA
191,HADA
191,HADA
192,EUHA
193,HADA
194,EUHA
195,HADA
195,HADA
195,HADA
196,HADA
196,HADA
197,LAFO
197,LAFO
198,EUHA
199,EUHA
200,ACSU
201,ACSU
202,ACSU
203,ACSU
204,LAFO
204,LAFO
204,LAFO
205,PELE
206,PELE
207,PELE
208,PELE
209,PELE
210,LAFO
210,LAFO
211,PELE
212,PELE
213,PELE
214,PELE
215,PELE
216,PHPH
217,PHPH
218,PHPH
219,PHPH
220,HIBR
221,PHPH
222,EUHA
223,HATE
224,PELE
225,HIBR
226,PHPH
227,PHPH
228,PHPH
229,HIBR
230,HIBR
231,PHPH
232,PHPH
233,PHPH
234,PHPH
235,PHPH
236,PHPH
237,ACSU
238,PHPH
239,PHPH
240,PHPH
241,PHPH
242,PHPH
243,PHPH
244,PELE
245,PHPH
246,PHPH
247,PHPH
248,PELE
249,LAFO
249,LAFO
249,LAFO
250,HIBR
251,PHPH
252,ACSU
253,PHPH
254,LAFO
254,LAFO
254,LAFO
255,LAFO
255,LAFO
256,HIBR
257,PHPH
258,PHPH
259,ACSU
260,PELE
261,PHPH
262,PHPH
263,LAFO
264,PHPH
265,BAMA
266,BAMA
267,BAMA
268,PELE
269,PELE
270,PELE
271,LAFO
271,LAFO
271,LAFO
272,LAFO
272,LAFO
273,ACSU
274,PELE
275,LAFO
276,ACSU
277,ACSU
278,BOLE
279,BOLE
280,BOLE
281,BOLE
282,BOLE
283,BOLE
284,BOLE
285,ACSU
286,ACSU
287,ACSU
288,ACSU
289,ACSU
290,ACSU
291,ACSU
292,ACSU
293,ACSU
294,BOLE
295,BOLE
,
,
