,site,species,individual,start_end,age,aborted_ovule_count,accessory_costs,accessory_costs_using_seedweight,accessory_inv,all_leaf_and_repro_inv,all_leaf_inv,choosiness,cone_count,count_per_length,diameter,diameter_0,discarded_costs,discarded_inv,embryo_endo_costs,embryo_endo_inv,embryo_endo_size,flower_inv,fruit_costs,fruit_inv,gross_inv,growth_height,growth_inv,growth_leaf,growth_leaf_area,growth_leaf_neg,growth_leaf_pos,growth_leaf_prop_no_accessory,growth_shoot_length,growth_stem,growth_stem_area,growth_stem_diameter,height,height_0,inflorescence_count,leaf_area,leaf_area_0,leaf_inv_gross,leaf_replacement,leaf_repro_inv,leaf_shed,leaf_size,leaf_weight,leaf_weight_0,lifespan,LMA,lvs_end,lvs_end_count,lvs_end_length,mature,maturity,ovule_count,ovule_per_ovary,pack_disp_success_inv,packaging_dispersal_costs,packaging_dispersal_costs_temp,pollen_attract_costs,pollen_set,postpollen_aborted_costs,postpollen_aborted_count,postpollen_aborted_inv,postpollen_all_costs,postpollen_all_inv,postpollen_count,postpollen_temp_inv,prepollen_all_costs,prepollen_all_inv,prepollen_costs_from_pack_disp_tissues,prepollen_costs_from_seed_tissues,prepollen_count,prepollen_count_aborted_preflowering,prepollen_count_reach_flowering,prepollen_discarded_costs,prepollen_discarded_inv,prepollen_inv_aborted_preflowering,prepollen_inv_from_aborted_dispersal,prepollen_inv_from_pack_disp_tissues,prepollen_partial_costs,prepollen_success_inv,prepollen_temp_inv,prop_accessory_vs_embryo_endo,prop_accessory_vs_propagule,prop_discarded_vs_all_repro,prop_embryo_endo_vs_all_repro,prop_embryo_endo_vs_success,prop_endo,prop_leaf_expand,prop_leaf_loss,prop_leaf_replacement,prop_pack_disp_vs_all_repro,prop_pack_disp_vs_success,prop_pollen_attract_vs_all_repro,prop_pollen_attract_vs_success,prop_postpollen_all_vs_all_repro,prop_postpollen_discarded,prop_postpollen_discarded_vs_all_repro,prop_postpollen_success,prop_prepollen_all_vs_all_repro,prop_prepollen_discarded,prop_prepollen_discarded_vs_all_repro,prop_prepollen_success,prop_propagule_vs_all_repro,prop_provisioning_vs_success,prop_repro,prop_success,prop_surplus,propagule_costs,propagule_costs_temp,propagule_inv,provisioning_costs,RA,RA_max_1,replace_leaf_prop_no_accessory,repro_and_leaf_growth_prop_surplus,repro_costs,repro_inv,repro_prop_all_leaf,reproducing,scaled_ovule_count,scaled_pollen_attract_costs,scaled_provisioning_costs,scaled_reach_flowering_count,scaled_repro_inv,scaled_seed_count,seed_coat_costs,seed_count,seed_prop_all,seed_prop_all_acc,seed_prop_surplus,seed_prop_veg,seed_size,seed_size_source,seedset,shoot_leaf_count,shoot_leaf_count_new,shoot_leaf_count_new_and_shed_count,shoot_leaf_count_start,shoot_length_start,stem_area,stem_weight,stem_weight_0,stop_at_flower_count,success_costs,success_inv,surplus_inv,total_inv,total_weight,total_weight_0,wood_density,zygote_set,mean_P,mean_N,mean_P_s,mean_N_s,ratio_leaf_stem,leaf_m_whole,leaf_a_whole,mean_P_area,mean_N_area,age_group,mean_ratio_leaf_stem,mean_leaf_m_whole,mean_leaf_a_whole,mean_g_diameter,mean_g_height,mean_g_inv,mean_g_leaf_area,mean_g_gross_inv,mean_ratio_leaf_stem_s,mean_leaf_m_whole_s,mean_leaf_a_whole_s,mean_g_stem_diameter_s,mean_g_height_s,mean_g_inv_s,mean_g_leaf_area_s,mean_g_gross_inv_s,mean_LMA_s,mean_P_area_s,mean_N_area_s
1,Basin2005,BAER,BAER_001,end,7,2286,0,0,24985.12362,79736.16239,54751.03877,0,2,1.376529467,21.26,15.04,0,24985.12362,0,0,24.0645,0,0,0,131980.2715,23,75732.06789,23487.95876,1099.280441,0,23487.95876,0.219523588,70,52244.10913,177.3319097,6.22,653,630,0,4544.75663,3445.476189,54751.03877,31263.08001,48473.08238,31263.08001,0.16078325,97106.3,73618.34124,40,0.021366667,243.6457157,0,177,TRUE,7,2286,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24985.12362,0,0,2286,982,1304,0,24985.12362,16582.54089,0,0,0,0,24985.12362,1,1,1,0,0,0.7426,0.367275213,0.424664282,0.604152132,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.189309533,0,0.607918427,0,0,0,0,0.248072084,0.51544326,0.511715156,0.607918427,0,24985.12362,0.313347456,TRUE,0.663478682,0,0,0.37846728,7.25157344,0,0,0,0,0,0,0,0,Wenk,0,340.0027784,96.3570627,0,423.4844248,117,354.9902309,85380.3,33136.19087,1304,0,0,48473.08238,100717.1915,182486.6,106754.5321,0.5875,0,149.821,1.501,129.754,1.234555556,1.137338473,0.532128386,0.024904605,24.0887073,0.241335658,"Old (5, 7, 9, 32 yrs)",0.968789393,0.488113506,0.022844626,6.046190476,111.1428571,107218.0515,1385.059612,171357.8513,1.216824492,0.503342627,0.022965724,3.6632,147.48,62587.29588,385.4721021,118628.2338,0.022436667,46.04451467,0.357926503
2,Waratah2011,BAER,BAER_101,end,1.4,0,0,0,0,1307.186107,1307.186107,0,0,1.376529467,3.126666667,2.22,0,0,0,0,24.0645,0,0,0,1838.610687,100,1723.00194,1191.57736,56.83198856,0,1191.57736,0.648085736,110,531.4245796,3.807331043,0.906666667,285,185,0,71.10333863,14.27135008,1307.186107,115.6087472,1191.57736,115.6087472,0.494356563,1490.8,299.2226399,40,0.020966667,54,54,0,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.7426,0.648085736,0.386363636,0.710964054,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.911559076,0,0,0,0,0,0,0.710964054,0.911559076,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,205.4182414,151.4182414,0,88,185,7.678087352,831.2,299.7754204,0,0,0,1191.57736,1723.00194,2322,598.9980604,0.5875,0,184.4725,1.2065,129.754,1.234555556,1.793551492,0.64203273,0.030621593,91.19519098,0.596441193,"Young (1.4, 2.4 yrs)",2.127725257,0.675033813,0.032195571,2.412222222,199.4,3342.507281,99.90022609,3654.664848,1.216824492,0.503342627,0.022965724,3.6632,147.48,62587.29588,385.4721021,118628.2338,0.022436667,46.04451467,0.357926503
3,Waratah2011,BAER,BAER_151,end,2.4,0,0,0,0,4389.949404,4389.949404,0,0,1.376529467,6.476666667,4.513333333,0,0,0,0,24.0645,0,0,0,8362.122778,159,7910.087519,3937.914144,163.6252414,0,3937.914144,0.470922785,172,3972.173374,16.94656235,1.963333333,671,512,0,231.9972299,68.37198847,4389.949404,452.0352595,3937.914144,452.0352595,0.236380859,5583.4,1645.485856,40,0.024066667,388.4282508,3,280,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.7426,0.470922785,0.274712334,0.524980262,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.897029506,0,0,0,0,0,0,0.524980262,0.897029506,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,625.1913192,236.7630684,0,535.5506082,360,32.94526257,6111.9,2139.726626,0,0,0,3937.914144,7910.087519,11695.3,3785.212481,0.5875,0,97.118,0.978333333,129.754,1.234555556,0.913529344,0.477405453,0.019836792,22.95683631,0.231259274,"Young (1.4, 2.4 yrs)",1.078452052,0.513619209,0.021341518,3.412857143,246.4285714,20401.86161,421.7214756,22001.90255,1.216824492,0.503342627,0.022965724,3.6632,147.48,62587.29588,385.4721021,118628.2338,0.022436667,46.04451467,0.357926503
4,Basin2007,BAER,BAER_401,end,5,0,0,0,0,5612.537563,5612.537563,0,0,1.376529467,7.09,4.823333333,0,0,0,0,24.0645,0,0,0,10493.81816,50,8356.700191,3475.419593,172.9064474,0,3475.419593,0.331187328,50,4881.280598,21.20854294,2.266666667,510,460,0,428.6119403,255.7054929,5612.537563,2137.11797,3475.419593,2137.11797,0.131684583,8615.1,5139.680407,40,0.0201,234.0100094,0,170,FALSE,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.7426,0.331187328,0.41580756,0.534842273,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.619224291,0,0,0,0,0,0,0.534842273,0.619224291,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,Wenk,0,302.8364828,68.82647336,0,400.5700749,110,39.48047342,7261.6,2380.319402,0,0,0,3475.419593,8356.700191,15876.7,7519.999809,0.5875,0,NA,NA,NA,NA,1.186391429,0.542625357,0.026996286,NA,NA,"Old (5, 7, 9, 32 yrs)",1.078489434,0.517085887,0.025725666,2.188095238,85,9238.280887,179.4894603,11908.84936,1.216824492,0.503342627,0.022965724,3.6632,147.48,62587.29588,385.4721021,118628.2338,0.022436667,46.04451467,0.357926503
5,Waratah2003,BAER,BAER_801,end,9,1934,0,0,21251.13471,238997.7648,217746.6301,0,1,1.376529467,35.64333333,19.53333333,0,21251.13471,0,0,24.0645,0,0,0,501138.6559,50,294652.8052,32511.91412,1281.678612,0,32511.91412,0.06774903,121,262140.8911,698.1373644,16.11,1080,1030,0,9328.726675,8047.048064,217746.6301,185234.716,53763.04883,185234.716,0.158870417,236638.7,204126.7859,40,0.025366667,66,66,0,TRUE,7,1934,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21251.13471,0,0,1934,1934,0,0,21251.13471,21251.13471,0,0,0,0,21251.13471,1,1,1,0,0,0.7426,0.107281784,0.907449334,0.476909458,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.042405698,0,0.224952099,0,0,0,0,0.067270876,0.395273988,0.453745139,0.224952099,0,21251.13471,0.088917713,TRUE,0.240336579,0,0,0,2.640860915,0,0,0,0,0,0,0,0,Wenk,0,232.5600655,166.5600655,0,713.1229094,146,997.8069063,326844.7,64703.8089,0,0,0,53763.04883,315903.9399,563483.4,268830.5948,0.5875,0,96.1585,1.375,129.754,1.234555556,0.724009598,0.419956826,0.01655546,15.27674096,0.218446823,"Old (5, 7, 9, 32 yrs)",0.752635326,0.428494811,0.016892042,5.655238095,73.57142857,101874.5205,620.1977278,204491.432,1.216824492,0.503342627,0.022965724,3.6632,147.48,62587.29588,385.4721021,118628.2338,0.022436667,46.04451467,0.357926503
6,Basin1981,BAER,BAER_901,end,32,3458,1482.964691,1467.95395,258035.8563,523289.4443,257718.3356,20.87356322,4,1.376529467,60.87333333,54.19,296.0300694,51509.23208,43.30604835,7535.252412,24.0645,48460.98046,216.501255,37671.21837,1077064.676,70,549813.5739,-3961.657739,-162.1415173,-3961.657739,0,0.009200229,138,553775.2316,603.97638,6.683333333,2790,2720,0,24363.35198,24525.4935,257718.3356,257718.3356,261609.451,261679.9933,0.151826288,595277.9,599239.5577,40,0.024433333,344.1323668,0,250,TRUE,7,3632,2,204204.9803,1173.591841,1165.480182,13.34278096,0.04845815,167.8915219,2,29213.12481,1384.789411,240953.3576,176,242301.9428,141.4813285,24617.75116,6.89908255,0.763333333,3456,0,3632,128.1385476,22296.10728,0,13.7981651,25057.46782,5.680365079,2321.643887,23269.16597,0.971626234,0.96179132,0.19395646,0.028373766,0.035201282,0.7426,0.246569324,0.436686781,0.485847745,0.768927694,0.953953051,0.00874208,0.010845667,0.9073026,0.12123975,0.11000114,0.87876025,0.0926974,0.905692284,0.083955319,0.094307716,0.03820868,0.989154333,0.246569324,0.80604354,0.507503279,58.31679012,59.08012346,10147.12148,1216.897889,0.32570039,1,0.323863558,0.507503279,1526.27074,265571.1087,0.507503279,TRUE,0.148090802,0.000544037,0.049617672,0.148090802,10.82836962,0.007094658,15.01074178,174,0.009200229,0.0069961,0.028373766,0.0069961,58.31679012,Wenk,0.047907489,534.0934333,189.9610665,0,610.9076709,300,2910.342148,2081500,1527724.768,3456,1230.24067,214061.8766,265571.1087,815384.6826,2676777.9,2126964.326,0.5875,0.988636364,165.349,1.512,129.754,1.234555556,0.285985059,0.222385989,0.009101746,25.10432492,0.229561348,"Old (5, 7, 9, 32 yrs)",0.253826045,0.201490039,0.008246523,3.694285714,110,201156.8833,-67.16803054,429753.067,1.216824492,0.503342627,0.022965724,3.6632,147.48,62587.29588,385.4721021,118628.2338,0.022436667,46.04451467,0.357926503
7,Basin2005,BOLE,BOLE_001,end,7,440,77.21679428,73.95252842,1544.335886,1834.992405,248.0322208,23,0,0.245981591,4.736666667,4.52,64.53830756,1290.766151,2.131214904,42.62429808,2.095,1485.113021,11.93363095,238.672619,2156.490284,-520,73.63750315,-247.8603764,-12.64593757,-247.8603764,0,0.069629979,27,321.4978796,1.575203283,0.216666667,580,1100,0,20.24489796,32.89083553,248.0322208,248.0322208,1339.099807,495.8925972,0.454821816,396.8,644.6603764,9,0.0196,6,6,0,TRUE,1.4,460,4,188.999603,9.449980151,8.667091591,3.228506568,0.067567568,24.07487269,0,481.4974539,35.65606775,713.121355,20,769.797619,43.69194144,873.8388287,2.481377306,0.352435897,440,164,296,40.46343487,809.2686973,603.0610209,0,734.4876825,0.394693365,64.57013136,817.1625646,0.973140915,0.932002317,0.813357616,0.026859085,0.143906674,0.395,0.735899529,0.769230769,0.850916147,0.119095365,0.638093892,0.040687934,0.217999434,0.449363105,0.675197076,0.303408654,0.324802924,0.550636895,0.926107505,0.509948961,0.073892495,0.067997683,0.782000566,0.735899529,0.186642384,0.864832018,5.395480769,5.747916667,107.9096154,11.58119505,0.955656024,1,0.474809165,0.864832018,79.34800918,1586.960184,0.864832018,TRUE,13.9856587,0.098158241,0.35211009,8.999467335,48.24931195,0.608072117,3.264265865,20,0.069629979,0.019765588,0.026859085,0.019765588,5.395480769,Wenk,0.043478261,13,7,0,26,178,17.62120192,2576,2254.50212,276,14.80970162,296.1940325,1586.960184,1660.597687,2972.8,2899.162497,0.8575,1,239.2986667,1.727,190.3758,1.639873333,0.154037267,0.133476857,0.006810044,108.8382541,0.785477276,"Old (5, 7, 9, 32 yrs)",0.166951833,0.138938191,0.007088683,0.472380952,-170,726.2668164,-16.23629845,2822.45601,0.968251107,0.406534619,0.031096283,1.118652482,121.9148936,2217.354784,66.55472759,3708.794778,0.01587766,219.0161065,1.87139784
8,Waratah2011,BOLE,BOLE_101,end,1.4,8,0,0,4.2,280.5,276.3,0,0,0.245981591,1.593333333,0.6,0,4.2,0,0,2.095,0,0,0,408.5051792,103,363.9178325,235.9126533,21.44660485,0,235.9126533,0.583501438,103,128.0051792,1.711155705,0.993333333,133,30,0,25.11818182,3.671576972,276.3,40.38734669,240.1126533,40.38734669,1.671524917,276.3,40.38734669,9,0.011,0,0,0,TRUE,1.4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,8,8,0,0,4.2,4.2,0,0,0,0,4.2,1,1,1,0,0,0.395,0.587783621,1,0.686649801,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.010281387,0,0.856016589,0,0,0,0,0.01140939,0.01749179,0.683394659,0.856016589,0,4.2,0.014973262,TRUE,2.178900255,0,0,0,1.143922634,0,0,0,0,0,0,0,0,Wenk,0,22,22,0,10,30,1.993899044,134.1,6.09482077,0,0,0,240.1126533,368.1178325,410.4,46.48216746,0.8575,0,192.415,1.610275,190.3758,1.639873333,2.060402685,0.673245614,0.061204147,321.6264668,2.691614785,"Young (1.4, 2.4 yrs)",1.68303028,0.617501848,0.056136532,1.691052632,275.3684211,2261.5111,116.4792861,2675.715736,0.968251107,0.406534619,0.031096283,1.118652482,121.9148936,2217.354784,66.55472759,3708.794778,0.01587766,219.0161065,1.87139784
9,Waratah2011,BOLE,BOLE_151,end,2.4,865,742.3757836,739.1115177,2227.127351,6197.293891,3963.772895,289.3333333,0,0.245981591,5.256666667,2.893333333,729.6215009,2188.864503,2.131214904,6.393644712,2.095,2868.13461,11.93363095,35.80089286,11320.83954,375,8085.886014,2962.340369,163.6652138,0,2962.340369,0.326460081,365,5123.545645,15.12768492,2.363333333,745,370,0,265.0994475,101.4342338,3963.772895,1001.432526,5195.861365,1001.432526,1.231492001,4798.3,1835.959631,9,0.0181,55,55,0,TRUE,1.4,868,4,28.34994045,9.449980151,8.730433829,3.304302547,0.1,40.21939639,5,120.6581892,51.80059144,155.4017743,8,178.5790179,692.7064071,2078.119221,2.544719544,0.352435897,860,788,80,689.4021045,2068.206314,1999.814312,12.72359772,203.5775635,0.407147105,9.91290764,2054.941978,0.997137415,0.992752948,0.980006235,0.002862585,0.143173911,0.395,0.458964315,0.545454545,0.547423526,0.012692937,0.63484476,0.004438242,0.221981329,0.069577038,0.776427359,0.054021516,0.223572641,0.930422962,0.995229866,0.92598472,0.004770134,0.007247052,0.778018671,0.197292876,0.019993765,0.838408095,5.395480769,5.747916667,16.18644231,11.58119505,0.21643889,0.429865395,0.436583703,0.838408095,744.5069985,2233.520996,0.360402627,TRUE,8.557268763,0.032575812,0.114174422,0.788688365,22.01940028,0.029575814,3.264265865,3,0.000703084,0.000564768,0.001230526,0.000564768,5.395480769,Wenk,0.003456221,84,29,0,121,178,21.70254966,6236.9,1113.354355,72,14.8854976,44.6564928,5195.861365,10319.40701,11035.2,2949.313986,0.8575,0.375,134.8254,1.3704,190.3758,1.639873333,0.769340538,0.434817674,0.024023076,166.0364016,1.687636638,"Young (1.4, 2.4 yrs)",0.708296919,0.413321678,0.022835452,1.968095238,260.7142857,7829.222535,168.9906032,12782.07238,0.968251107,0.406534619,0.031096283,1.118652482,121.9148936,2217.354784,66.55472759,3708.794778,0.01587766,219.0161065,1.87139784
10,Basin2007,BOLE,BOLE_401,end,5,252,0,0,249.7383706,883.4383706,633.7,0,0,0.245981591,2.696666667,2.453333333,0,249.7383706,0,0,2.095,0,0,0,1128.93949,70,-104.3268049,-349.8279245,-19.11628003,-349.8279245,0,0,75,245.5011196,0.984234798,0.243333333,395,325,0,34.6284153,53.74469533,633.7,633.7,-100.089554,983.5279245,0.457917,633.7,983.5279245,9,0.0183,0,0,0,TRUE,1.4,252,4,0,0,0,0,0,0,0,0,0,0,0,0,0,249.7383706,0,0,252,208,44,0,249.7383706,216.864683,0,0,0,0,249.7383706,1,1,1,0,0,0.395,0.221215019,1,0.782538283,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.221215019,0,0.282689069,0,0,0,0,1.717458783,1,0.720767963,0.282689069,0,249.7383706,0.282689069,TRUE,4.688834841,0,0,0.818685448,4.646753862,0,0,0,0,0,0,0,0,Wenk,0,18,18,0,25,90,5.711424171,993.8,748.2988804,44,0,0,249.7383706,145.4115657,1627.5,1731.826805,0.8575,0,NA,NA,NA,NA,0.637653451,0.3893702,0.02127706,NA,NA,"Old (5, 7, 9, 32 yrs)",0.893722356,0.362338577,0.019799922,0.304761905,33.57142857,36.10672872,-12.74088278,1020.477472,0.968251107,0.406534619,0.031096283,1.118652482,121.9148936,2217.354784,66.55472759,3708.794778,0.01587766,219.0161065,1.87139784
