"","species","age","mean_g_diameter","mean_g_height","mean_g_leaf_area","mean_g_inv","mean_g_gross_inv","wood_density","mean_leaf_m_whole","mean_P_area","mean_N_area","LMA"
"1","BAER",7,6.04619047619048,111.142857142857,1385.05961168959,107218.051547989,171357.851273127,0.5875,0.488113505579055,24.08870729825,0.24133565825,0.0213666666666667
"2","BAER",1.4,2.41222222222222,199.4,99.900226088148,3342.50728050762,3654.66484841431,0.5875,0.675033812677997,91.1951909757812,0.59644119265625,0.0209666666666667
"3","BAER",2.4,3.41285714285714,246.428571428571,421.721475626698,20401.8616138696,22001.9025508608,0.5875,0.513619208756008,22.9568363051797,0.23125927413285,0.0240666666666667
"4","BAER",5,2.18809523809524,85,179.489460324207,9238.28088697516,11908.8493588385,0.5875,0.517085887288059,NA,NA,0.0201
"5","BAER",9,5.65523809523809,73.5714285714286,620.197727806416,101874.520494731,204491.43200733,0.5875,0.428494810632639,15.2767409610417,0.218446822916667,0.0253666666666667
"6","BAER",32,3.69428571428571,110,-67.168030539851,201156.883271442,429753.066999999,0.5875,0.201490038514774,25.1043249192513,0.229561347682224,0.0244333333333333
"7","BOLE",7,0.472380952380953,-170,-16.2362984482176,726.266816431121,2822.45600964784,0.8575,0.138938190776915,108.838254089333,0.785477275868422,0.0196
"8","BOLE",1.4,1.69105263157895,275.368421052632,116.4792860663,2261.51110001116,2675.71573551474,0.8575,0.617501848480165,321.626466840417,2.69161478518542,0.011
"9","BOLE",2.4,1.96809523809524,260.714285714286,168.990603174812,7829.22253458564,12782.072381122,0.8575,0.413321678344359,166.036401609436,1.68763663794486,0.0181
"10","BOLE",5,0.304761904761905,33.5714285714286,-12.7408827758269,36.1067287153278,1020.47747246055,0.8575,0.362338576862196,NA,NA,0.0183
"11","BOLE",9,0.175714285714286,-53.1428571428571,-9.30402746330286,157.970200814389,1014.24493881244,0.8575,0.138914691229322,103.659828535,0.914776469259258,0.02075
"12","COER",7,0.934444444444443,31.6666666666667,5.61134067117831,1214.10665945839,1967.76739403423,0.7875,0.35175769000506,11.713620758125,0.0890027691666666,0.0223
"13","COER",2.4,1.0425,215.25,15.4589301378933,935.601379553527,992.313833242487,0.7875,0.570593464033005,14.5759279904685,0.144739883635135,0.0154333333333333
"14","COER",1.4,0.494444444444444,84.3333333333333,6.36663711372601,162.211587381574,176.757626169527,0.7875,0.792629104990984,35.310712987889,0.205101369166667,0.0173666666666667
"15","COER",5,0.844285714285714,66.7142857142857,3.87740114515293,510.405918868054,720.453273315934,0.7875,0.474997975696168,NA,NA,0.0244333333333333
"16","COER",9,0.469333333333333,23.4,3.34955679414726,1520.2080820363,2442.56962922328,0.7875,0.127973611907158,6.64034976395946,0.060911839654955,0.0291333333333333
"17","EPMI",7,0.446666666666667,46.2857142857143,2.68220141402473,454.656010549893,728.349699000701,0.725,0.348679998517247,9.00342867857323,0.0763832450265151,0.0132
"18","EPMI",1.4,0.682777777777778,124.095238095238,11.1174679926309,215.446823541559,260.321332566275,0.725,0.634678486468224,10.2225287762536,0.0888336999081443,0.0106
"19","EPMI",2.4,0.516666666666667,110.285714285714,10.0651051232264,402.558131107937,601.31219182935,0.725,0.430315693748426,16.8164572746338,0.0959979723127573,0.0116
"20","EPMI",5,0.488571428571429,38.1428571428571,3.12271007568892,221.265341628862,360.193279744588,0.725,0.457335153270825,NA,NA,0.0124
"21","EPMI",9,0.485416666666667,-23.5,4.15058206712354,1031.02513030153,1909.07015217969,0.725,0.207739871030355,8.36278421152846,0.0850585278186993,0.0143666666666667
"22","EPMI",32,0.23047619047619,69.2857142857143,1.8499598203528,1059.0478762464,2509.08988860807,0.725,0.149541074360178,7.88397105664147,0.0739905666996124,0.0136333333333333
"23","GRBU",7,2.18333333333334,62,-41.6844467250497,4865.14745909124,10553.7230581015,0.725,0.356760245323089,78.1363428429167,0.566419078458334,0.0166666666666667
"24","GRBU",2.4,3.08266666666667,172.8,189.826581344937,18171.6625173183,25182.507901005,0.725,0.518708411535071,93.0127619414584,0.690666097916667,0.0126666666666667
"25","GRBU",1.4,4.79270833333333,311.25,997.172986655652,23824.8362239083,27253.4315281407,0.725,0.641205465684626,288.108094339879,1.44585395681739,0.0123333333333333
"26","GRBU",5,1.9,96.2857142857143,-69.1007346863537,5635.31681981064,12265.8441466872,0.725,0.512669108163932,NA,NA,0.016
"27","GRBU",9,0.936666666666667,69,-42.9981591739024,6206.16586146175,16925.9958557393,0.725,0.235812170227115,43.27538157748,0.342791374914168,0.0156666666666667
