,species,age,G_diameter,G_height,G_leaf_area,G_net,G_total,wood_density,LMF,P_area,N_area,LMA,P_mass,N_mass
1,BAER,7,6.046190476,111.1428571,1385.059612,107.2180515,171.3578513,0.5875,0.488113506,0.032011754,3.207136667,213.6666667,0.000149821,0.01501
2,BAER,1.4,2.412222222,199.4,99.90022609,3.342507281,3.654664848,0.5875,0.675033813,0.038677734,2.529628333,209.6666667,0.000184473,0.012065
3,BAER,2.4,3.412857143,246.4285714,421.7214756,20.40186161,22.00190255,0.5875,0.513619209,0.023373065,2.354522222,240.6666667,9.71E-05,0.009783333
4,BAER,5,2.188095238,85,179.4894603,9.238280887,11.90884936,0.5875,0.517085887,NA,NA,201,NA,NA
5,BAER,9,5.655238095,73.57142857,620.1977278,101.8745205,204.491432,0.5875,0.428494811,0.024392206,3.487916667,253.6666667,9.62E-05,0.01375
6,BAER,32,3.694285714,110,-67.16803054,201.1568833,429.753067,0.5875,0.201490039,0.040400272,3.69432,244.3333333,0.000165349,0.01512
7,BOLE,7,0.472380952,-170,-16.23629845,0.726266816,2.82245601,0.8575,0.138938191,0.046902539,3.38492,196,0.000239299,0.01727
8,BOLE,1.4,1.691052632,275.3684211,116.4792861,2.2615111,2.675715736,0.8575,0.617501848,0.02116565,1.7713025,110,0.000192415,0.01610275
9,BOLE,2.4,1.968095238,260.7142857,168.9906032,7.829222535,12.78207238,0.8575,0.413321678,0.024403397,2.480424,181,0.000134825,0.013704
10,BOLE,5,0.304761905,33.57142857,-12.74088278,0.036106729,1.020477472,0.8575,0.362338577,NA,NA,183,NA,NA
11,BOLE,9,0.175714286,-53.14285714,-9.304027463,0.157970201,1.014244939,0.8575,0.138914691,0.047998485,4.235766667,207.5,0.000231318,0.020413333
12,COER,7,0.934444444,31.66666667,5.611340671,1.214106659,1.967767394,0.7875,0.35175769,0.037214463,2.82764,223,0.000166881,0.01268
13,COER,2.4,1.0425,215.25,15.45893014,0.93560138,0.992313833,0.7875,0.570593464,0.014593966,1.44919,154.3333333,9.46E-05,0.00939
14,COER,1.4,0.494444444,84.33333333,6.366637114,0.162211587,0.176757626,0.7875,0.792629105,0.037224061,2.16215,173.6666667,0.000214342,0.01245
